,College Code,College Name,Course,Type,SM,EZ,MU,BH,LA,DV,VK,BX,KU,KN,SC,ST
0,ILE,"ILM College of Engineering, Perumbavoor, Ernakulam.",Aeronautical Engineering,S,51741,0,0,0,0,0,0,0,0,0,0,0
1,JCE,"Jawaharlal College of Engineering & Technology, Ottappalam.",Aeronautical Engineering,S,52539,0,0,0,0,0,0,0,0,0,0,0
2,MHP,"Ace College of Engineering, .Thiruvallam.",Aeronautical Engineering,S,51501,0,0,0,0,0,0,0,0,0,0,0
3,MZC,"Mount Zion College of Engg., Pathanamthitta.",Aeronautical Engineering,S,48014,0,0,0,0,0,0,0,0,0,0,0
4,RIE,"Rajadhani Institute of Engineering & Tech., Attingal.",Aeronautical Engineering,S,52146,0,0,0,0,0,0,0,0,0,0,0
5,KKE,"Govt. Engineering College, Kozhikkode.",Applied Electonics & Instrumentation,G,13390,19425,17668,28755,38169,0,25196,40405,0,0,49154,0
6,TVE,"College of Engineering,Thiruvananthapuram.",Applied Electonics & Instrumentation,G,2068,3281,4669,3389,4810,43391,4980,7258,11712,0,44790,0
7,LBT,"LBS Institute of Tech. for Women, Poojapura, TVPM",Applied Electonics & Instrumentation,N,52046,0,0,0,0,0,0,0,0,0,0,0
8,KMC,"KMCT College of  Engineering, Kozhikkode.",Applied Electonics & Instrumentation,S,33558,0,0,0,0,0,0,0,0,0,0,0
9,MZC,"Mount Zion College of Engg., Pathanamthitta.",Applied Electonics & Instrumentation,S,43411,0,0,0,0,0,0,0,0,0,0,0
10,PAA,"P A Aziz College of Engineering, Karakulam, Thiruvananthapuram",Applied Electonics & Instrumentation,S,0,0,0,0,0,0,0,0,0,0,0,0
11,RET,"Rajagiri School of Engineering and Technology, Kochi.",Applied Electonics & Instrumentation,S,46510,0,0,0,0,0,0,0,0,0,0,0
12,VML,"Vimal Jyothi Engineering College, Chemperi.",Applied Electonics & Instrumentation,S,51146,0,0,0,0,0,0,0,0,0,0,0
13,KTE,"Govt. Rajiv Gandhi Institute of Tech., Kottayam.",Architecture,G,163,401,244,254,876,0,0,1320,3319,2134,1737,0
14,TCR,"Govt. Engineering College,Thrissur.",Architecture,G,145,363,170,258,756,1100,205,0,0,0,1640,3508
15,TKM,"T K M College of Engineering, Kollam.",Architecture,G,132,278,159,193,794,1202,203,184,1747,2560,1716,0
16,TVE,"College of Engineering,Thiruvananthapuram.",Architecture,G,29,168,61,73,112,0,199,0,0,0,889,0
17,ALR,"Alsalama Institute of Architecture, Perinthalmanna",Architecture,S,1638,1757,1696,2493,0,0,1980,0,0,0,0,0
18,APR,"A P J Abdul Kalam School of Architecture, Muvattupuzha, Ernakulam",Architecture,S,1007,1270,1568,0,0,0,0,3029,0,0,3189,0
19,ASR,"Asian School of Architecture and Design Innovations, Vyttila.",Architecture,S,1332,1528,1375,2584,1879,0,0,0,0,0,3360,0
20,AVR,"Avani Institute of Design, Kozhikkode.",Architecture,S,426,666,490,649,1271,2650,504,0,0,0,3646,0
