"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"KTE","Govt. Rajiv Gandhi Institute of Tech., Kottayam.","G","163","401","244","254","876","-","-","1320","3319","2134","1737","-","EW:722 PI:2"
"TCR","Govt. Engineering College,Thrissur.","G","145","363","170","258","756","1100","205","-","-","-","1640","3508","EW:619 PT:1"
"TKM","T K M College of Engineering, Kollam.","G","132","278","159","193","794","1202","203","184","1747","2560","1716","-","PD:3176"
"TVE","College of Engineering,Thiruvananthapuram.","G","29","168","61","73","112","-","199","-","-","-","889","-","CC:1 EW:327 SD:847"
"ALR","Alsalama Institute of Architecture, Perinthalmanna","S","1638","1757","1696","2493","-","-","1980","-","-","-","-","-",""
"APR","A P J Abdul Kalam School of Architecture, Muvattupuzha, Ernakulam","S","1007","1270","1568","-","-","-","-","3029","-","-","3189","-","EW:2705"
"ASR","Asian School of Architecture and Design Innovations, Vyttila.","S","1332","1528","1375","2584","1879","-","-","-","-","-","3360","-","XS:1827"
"AVR","Avani Institute of Design, Kozhikkode.","S","426","666","490","649","1271","2650","504","-","-","-","3646","-","EW:2369 OE:2804 SD:1166"
"BJR","Bishop Jerome Institute School of Architecture, Kollam","S","894","1140","1409","2675","1016","-","-","-","-","-","-","-","OE:2502 YD:2051"
"CEN","College of Engineering and Technology, Payyannur, Kannur.","S","1830","1981","1834","-","-","-","2099","-","-","-","2044","-",""
"DCR","DC School of Architecture and Design, Pullikkanam.","S","1571","1964","1750","1573","3533","3259","-","-","-","-","-","-","XS:2376"
"DGR","Devaki Amma's Guruvayurappan College of Architecture,","S","1082","1312","1190","1922","1930","-","2154","-","-","-","-","-","OE:3306"
"EKR","Eranad Knowledge City College of Architecture, Manjeri,","S","1605","2203","1712","1775","2528","-","2394","-","-","-","-","-",""
"GIR","Global Institute of Architecture, Pathiripala, Palakkad.","S","2160","2463","2235","2881","2454","-","-","-","-","-","-","-",""
"HCA","Holy Crescent College of Architecture, Vazhakulam.","S","1846","1947","2040","2471","1865","-","2114","-","-","-","-","-",""
"IER","IES College of Architecture. Chittilappilly.","S","667","726","800","1278","-","-","-","-","-","-","2553","-","XS:1622"
"KMR","K M E A College of Architecture, Aluva.","S","1023","1188","1330","1427","1914","2507","1178","-","-","-","3423","-","EW:2924 SD:1030"
"KTR","KMCT College of Architecture, Kozhikkode.","S","1958","1959","2003","-","-","-","-","2789","-","-","-","-",""
"MCR","Marian College of Architecture & Planning, Kazhakuttom.","S","990","1079","1273","1322","1708","3622","1458","-","-","-","3283","-","OE:2082 XS:2001 YK:3302"
"MER","MES College of Architecture, Kakkodi.","S","1090","1372","1108","2125","-","-","-","-","-","-","-","-","XS:1158"
"MKR","School of Architecture, Eatappilly.","S","2297","2648","2332","-","-","-","3037","-","-","-","-","-",""
"MLR","Mangalam School of Architecture, Kottayam.","S","1488","2164","1507","2365","2282","-","-","2541","-","-","2290","-",""
"MRR","MES School of Architecture, Kuttippuram, Malappuram","S","355","486","364","-","-","-","-","-","-","-","2016","-","MM:487 XS:720"
"MTR","KMCT College of Architecture, Manassery,  Kozhikkode.","S","2065","2119","2085","-","-","3251","2599","-","-","-","-","-",""
"NCR","Nehru College of Architecture, Lakkidi, Palakkad.","S","2133","2485","2216","2745","-","-","-","-","-","-","-","-",""
"NMR","Nizar Rahim and Mark School of Architecture, Kollam.","S","2029","2280","2150","3011","3071","-","-","-","-","-","-","-",""
"NVR","College of Architecture Trivandrum, Thiruvananthapuram.","S","350","634","502","353","1052","1717","886","1341","-","-","3630","-","EW:2258 XS:451"
"SCR","SCMS School of Architecture, Ernakulam","S","812","1143","1068","1743","1725","-","-","-","-","-","3644","-","EW:2053 XS:2170"
"SNR","Sneha College of Architecture, Govindapuram,.","S","2578","2869","2769","3135","-","-","3002","-","-","-","-","-",""
"TER","TKM School of Architecture, Ezhukone, Kollam.","S","596","652","748","-","-","-","-","1546","-","-","2388","-","EW:3210 RP:2543 XS:841"
"TIR","Talent Institute of Architecture, Edappal.","S","2626","2777","2701","-","-","-","2992","-","-","-","-","-",""
"TJR","Thejus College of Architecture, Erumapetti.","S","1993","2279","2108","3031","2046","3281","2030","-","-","-","3450","-","XS:3473"
"VVR","Veda Vyasa College of Architecture, Ponnempadam, Malappuram.","S","2118","2266","2185","-","-","-","-","-","-","-","-","-",""
