"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"IDK","Engineering College, Idukki","G","4464","13260","8088","17207","30706","29671","14542","21510","-","35201","49629","52298","CC:38 EW:13142 PD:44964"
"KNR","Govt. College of Engineering, Kannur.","G","3453","3991","4098","4072","5519","14686","4974","22148","25377","15275","30863","46121","CC:25 EW:5520 PT:21"
"KTE","Govt. Rajiv Gandhi Institute of Tech., Kottayam.","G","2554","2985","2768","3691","7018","14641","2971","-","-","-","29494","51327","CC:10 EW:3980 PD:39875"
"MAC","M A College of Engineering, Kothamangalam.","G","1965","2218","2151","2916","4956","5731","2426","8703","7446","18934","25542","41394","CC:20"
"NSS","N S S College of Engineering, Palakkad.","G","3016","3417","3234","3964","6319","13289","3030","-","-","-","30256","-","EW:4036 PD:28737 SG:5242 XS:3063"
"PKD","Govt. Engineering College, Sreekrishnapuram.","G","3362","5990","5997","5539","8005","19485","5852","23575","45783","28598","37250","52789","EW:6595 SD:17864"
"TCR","Govt. Engineering College,Thrissur.","G","976","1226","1084","1328","3828","2714","1220","-","-","-","20597","20190","CC:4 EW:1917 PD:48375"
"TKM","T K M College of Engineering, Kollam.","G","1366","1582","1536","1859","3401","7522","1762","7862","5608","9296","22678","49641","CC:8 PD:36574 RP:2189"
"TVE","College of Engineering,Thiruvananthapuram.","G","466","680","765","796","1805","934","731","3203","4285","5506","10081","33153","CC:1 EW:1099 PD:34031"
"WYD","Govt. Engineering College, Mananthavady.","G","4243","13339","8290","18737","38216","40677","10987","-","-","-","46369","38706","EW:13322 PI:43 XS:9069"
"ADR","College of Engineering, Adoor","N","14636","18877","19080","18763","19048","-","-","20622","-","-","52861","-","EW:18662 MG:41947 OE:23908"
"AEC","College of Engineering, Aranmula, Pathanamthitta.","N","35140","36896","43467","37926","47885","42337","37319","-","-","-","49156","-","EW:45934 MG:51992"
"CEA","College of Engineering, Attingal, Thiruvananthapuram.","N","18613","20577","22006","23545","32823","-","19735","-","-","-","53106","-","EW:32522 MG:52448 XS:32663"
"CEC","College of Engineering, Cherthala, Alappuzha.","N","23902","29880","29820","24440","25130","33360","-","-","45467","-","48855","-","EW:36471 MG:51994"
"CEK","College of Engineering, Kottarakkara, Kollam.","N","33207","39161","43442","41942","35927","-","49151","-","-","-","-","-","EW:42437 MG:47816"
"CEM","College of Engineering, Muttathara.","N","33835","38565","38894","39550","43792","-","36513","45073","-","-","52926","-","EW:42884 MG:49725"
"CHN","College of Engineering, Chengannur, Alappuzha.","N","8268","11680","10923","11387","19928","14447","9385","-","-","-","49167","-","EW:14643 MG:23598"
"KGR","College of Engineering, Kidangoor.","N","24257","29192","44874","30864","35057","35654","31448","-","-","-","52140","-","EW:32786 MG:52799 OE:42041"
"KNP","College of Engineering, Karunagappally.","N","25419","29789","30007","29627","26866","38199","30666","-","-","-","46094","-","EW:30311 MG:49466"
"KSD","LBS College of Engineering, Kasaragod.","N","20702","27207","26630","23280","44031","44429","26880","-","-","-","49017","-","EW:45319 MG:53115 OE:46724"
"LBT","LBS Institute of Tech. for Women, Poojapura, TVPM","N","10501","13286","16022","12968","30474","33922","16508","-","-","-","49529","-","EW:18870 MG:24540"
"MDL","Model Engineering College, Thrikkakkara.","N","1459","2375","1935","1729","1899","6531","4936","13584","6558","44137","30341","13575","EW:2666 MG:3038"
"MNR","College of Engineering, Munnar.","N","29511","31247","38017","44578","41097","-","-","-","-","-","50298","-","EW:31656 MG:50562"
"PEC","College of Engineering, Pathanapuram.","N","36256","41804","44105","-","42212","47058","49700","-","-","-","48577","-","EW:49434 MG:49350"
"PJR","College of Engineering, Poonjar.","N","31705","32617","40585","-","-","-","-","-","-","-","41754","-","EW:42973 MG:47365"
"PRN","College of Engineering Perumon.","N","19362","25064","23311","23363","45846","42970","43048","-","-","-","51299","-","EW:23181 MG:38007 OE:26450"
"PRP","College of Engineering & Management, Punnapra.","N","35570","39867","40289","-","36859","37013","51577","-","51024","47123","43637","-","EW:41740 MG:52477"
"PTA","College of Engineering, Kallooppara.","N","20868","26994","39009","26060","31496","-","-","-","-","-","51779","-","EW:26944 MG:44306 OE:39975"
"SCT","S C T College of Engineering, Pappanamcode, TVPM","N","3852","4997","4902","4662","8894","18928","4757","-","-","-","37851","-","EW:5232 MG:9103"
"TKR","College of Engineering, Thrikarippur, Kasaragod.","N","25192","28805","32277","27364","50886","51810","29843","-","-","44073","52992","49630","EW:47838 MG:51033 OE:50806"
"TLY","College of Engineering, Thalassery, Kannur.","N","14815","19477","16015","15753","47335","28987","28999","-","-","-","49944","-","EW:24568 MG:26699 OE:34616"
"UCE","University College of Engineering,Thodupuzha.","N","34049","40915","44372","43276","-","-","46837","-","-","-","52233","-","EW:48690"
"UCK","University College of Engineering, Kariavattom.","N","17452","24584","17559","-","-","37986","34658","33663","52079","-","49488","-","EW:29322 MG:50838"
"VDA","College of Engineering, Vadakara, Kozhikode.","N","23628","25178","28415","23761","41155","36958","25620","-","-","-","53003","-","EW:42964 MG:45028 OE:39372"
"AAE","Al-Azhar College of Engineering & Technology, Thodupuzha.","S","52920","-","-","-","-","-","-","-","-","-","-","-","MM:41678"
"AIK","Albertian Institute of Science and Technology, Kalamassery.","S","34711","44448","43439","35679","39027","-","-","-","-","-","45786","-","YA:51604"
"AJC","Amal Jyothi College of Engineering, Koovapally, Kanjirapally","S","21546","25286","25042","34621","-","28525","23245","-","-","-","52571","51004","YB:51178"
"AME","Rajadhani Institute of Science and Technology, Palakkad","S","51142","-","-","-","-","-","-","-","-","-","-","-",""
"ASI","Adi Sankara Institute of Engg. & Tech., Kalady, Ernakulam.","S","24769","29152","35326","36035","42587","45979","30412","-","33305","-","51386","-","EW:39503 OE:34674"
"ATP","Ahalia School of Engineering & Technology, Pudussery, Palakkad.","S","52828","-","-","-","-","-","-","-","-","-","-","-",""
"AWH","AWH Engineering College, Kozhikkode","S","46881","-","-","-","-","-","-","-","-","-","-","-",""
"AXE","Axis College of Engineering & Technology, Murikkingal, Thrissur.","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"BMC","Baselios Mathew II College of Engg., Sasthamcotta, Kollam.","S","52554","-","-","-","-","-","-","-","-","-","-","-","YQ:44363"
"CCE","Christ College of Engineering, Irinjalakuda.","S","12640","21730","20056","18202","-","30705","16662","-","-","-","49022","-",""
"CCV","MGM College of Engineering and Pharmaceutical Sciences,","S","52391","-","-","-","-","-","-","-","-","-","-","-",""
"CIM","Mentor Academy for Design Entrepreneurship & Tech., Ernakulam","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"CKC","Christ Knowledge City, Kuzhoor,EKM","S","41074","-","-","-","-","-","-","-","-","-","-","-",""
"CMA","Carmel College of Engg. & Technology, Punnapra, Alappuzha.","S","50546","-","-","-","-","-","-","-","-","-","-","-",""
"DMC","M Dasan Memmorial Co-op. Inst. of Engg. & Inf. Tech., Koyilandy.","S","50897","-","-","-","-","-","-","-","-","-","-","-",""
"ECE","ICCS College of Engineering and Management, Thrissur","S","47404","-","-","-","-","-","-","-","-","-","-","-",""
"EKC","Eranad Knowledgecity Technical Campus, Cherukulam, Manjeri","S","47037","-","-","-","-","-","-","-","-","-","-","-",""
"FIT","Federal Institute of Science & Tech., Angamaly.","S","10553","14231","13436","11694","12007","40944","11622","-","24118","45868","36678","-","EW:16885 YE:25256"
"GIT","Gurudeva Institute of Science & Technology, Puthuppally.","S","53191","-","-","-","-","-","-","-","-","-","-","-",""
"HCE","Heera College of Engineering & Technology, Nedumangad.","S","51637","-","-","-","-","-","-","-","-","-","-","-",""
"HGW","Holy Grace Academy of Engineering, Mala, Thrissur.","S","52807","-","-","-","-","-","-","-","-","-","-","-",""
"ICE","Ilahia College of Engineering & Tech., Moovattupuzha.","S","52936","-","-","-","-","-","-","-","-","-","-","-",""
